"Company","Parent Company","Location","City","County","Address","Zip","Project Description","NAICS Industry Code","Year","Subsidy Value","Megadeal Contribution","Subsidy Value Adjusted For Megadeal","Program Name","Awarding Agency","Type of Subsidy","Number of Jobs or Training Slots","Wage Data","Wage Data Type","Investment Data","Source of Data","Notes","Subsidy Source","CFDA Program Number","Loan Value","State in Which Facility Is Located","HQ State of Parent","HQ Country of Parent","Ownership Structure","Major Industry of Parent","Specific Industry of Parent"
"TWO PORE GUYS, INC.","","United States","","","","","A PLATFORM APPROACH FOR THE ELECTRICAL DETECTION OF PROTEIN BIOMARKERS USING A NANOPORE DEVICE","","2018","$256,500","$0","$256,500","Discovery and Applied Research for Technological Innovations to Improve Human Health","Health and Human Services Department: National Institutes of Health","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","93.286","","California", "","","","",""
"NAN","","United States","","","","","THE PROPOSAL TITLED ' AERONAUTICS SIMULATIONS AND EXPERIMENTS' AND THE ASSOCIATED BUDGET DATED 5 SEPTEMBER 2012 ARE HEREBY INCORPORTATED BY REFERENCE","","2018","$256,963","$0","$256,963","Air Force Defense Research Sciences Program","Defense Department","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","12.8","","Colorado", "","","","",""
"WEST VIRGINIA UNIVERSITY RESEARCH CORPORATION","","United States","","","","","GENETIC VARIATION IN TRANSCRIPTIONAL, PROTEOMIC AND METABOLIC RESPONSES OF S. CEREVISIAE TO HERBICIDES","","2018","$257,855","$0","$257,855","NSF Biological Sciences Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.074","","West Virginia", "","","","",""
"EXO DYNAMICS LLC","","United States","","","","","DEVELOPMENT OF AN ACTIVE SPINAL ORTHOSIS FOR THE TREATMENT OF VERTEBRAL COMPRESSION AND BURST FRACTURES","","2018","$258,528","$0","$258,528","Discovery and Applied Research for Technological Innovations to Improve Human Health","Health and Human Services Department: National Institutes of Health","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","93.286","","Michigan", "","","","",""
"NORTHWEST RESEARCH ASSOCIATES  INC.","","United States","","","","","THE MERIDIONAL CIRCULATION PLAYS A CRITICAL ROLE IN THE TRANSPORT OF ANGULAR MOMENTUM AND MAGNETIC FLUX ACROSS A WIDE RANGE OF LATITUDES WITHIN THE CONVECTION ZONE AND IS A MAJOR COMPONENT OF MODELS OF THE DYNAMICS OF ROTATING STELLAR CONVECTION ZONES  DYNAMOS  AND THE SOLAR CYCLE. WE PROPOSE TO DETERMINE THE PHYSICAL PROPERTIES OF THE SUBSURFACE MERIDIONAL CIRCULATION THROUGH THE APPLICATION OF TWO LOCAL-HELIOSEISMIC PROCEDURES TO DOPPLERGRAMS FROM THE HELIOSEISMIC MAGNETIC IMAGER (HMI) ONBOARD THE SOLAR DYNAMICS OBSERVATORY (SDO)  AS WELL AS ARCHIVED DATA FROM THE MICHELSON DOPPLER IMAGER (MDI) ONBOARD THE SOLAR AND HELIOSPHERIC OBSERVATORY (SOHO). THE TWO MAIN METHODS WE WILL EMPLOY ARE LEGENDRE FUNCTION DECOMPOSITION AND HELIOSEISMIC HOLOGRAPHY. INVERSE AND FORWARD MODELING WILL BE CARRIED OUT TO INFER DEPTH  LATITUDE  AND TEMPORAL PROPERTIES OF THE MERIDIONAL FLOW OVER A SPAN OF ALMOST TWO SOLAR CYCLES. THE TWO MAIN CHALLENGES TO A RELIABLE DETERMINATION OF THE MERIDIONAL FLOW - NAMELY A POOR SIGNAL-TO-NOISE RATIO AND THE PRESENCE OF SYSTEMATIC ARTIFACTS - WILL BE ADDRESSED BY 1) USING SUFFICIENTLY LONG DATASETS  2) IMPLEMENTING CONTROL MEASUREMENTS  3) PERFORMING COMPARISONS BETWEEN MULTIPLE METHODS AND INSTRUMENTS  AND 4) CARRYING OUT VALIDATION TESTS WITH ARTIFICIAL DATA. OF PARTICULAR IMPORTANCE IS THE IDENTIFICATION AND REMOVAL OF SYSTEMATIC ARTIFACTS WHICH CAN MIMIC LARGE-SCALE FLOWS AND DETRIMENTALLY IMPACT THE MEASUREMENT OF THE LOW-AMPLITUDE MERIDIONAL CIRCULATION. THIS INVESTIGATION IS TIMELY IN THAT THE SUBSTANTIAL INVESTMENT OF RESOURCES INTO THE SOHO AND SDO MISSIONS IS NOW YIELDING THE DECADES-LONG DATASET REQUIRED FOR THE RELIABLE DETERMINATION OF THE PROPERTIES OF THESE FLOWS. THE PROJECT IS APPROPRIATE AND OF HIGH PRIORITY FOR THE HELIOPHYSICS SUPPORTING RESEARCH PROGRAM  USING DATA FROM CURRENT NASA SPACECRAFT (SOHO AND SDO) IN COMBINATION WITH THEORY (INVERSIONS AND FORWARD MODELING) TO DIRECTLY ADDRESS THE GOALS OF THE HELIOPHYSICS DECADAL SURVEY. SPECIFICALLY  THE DETERMINATION OF THE TEMPORAL AND SPATIAL CHARACTERISTICS OF THE SOLAR MERIDIONAL CIRCULATION IS CRITICAL FOR KEY SCIENCE GOAL 1: ""DETERMINE THE ORIGINS OF THE SUN S ACTIVITY AND PREDICT THE VARIATIONS IN THE SPACE ENVIRONMENT."" THE ROLE OF THE MERIDIONAL CIRCULATION IS SPECIFICALLY CALLED OUT IN THE DECADAL SURVEY REPORT  WHICH NOTES THAT ""THE DEEP  PONDEROUS FLOWS THAT CARRY PATTERNS OF MAGNETIC FLUX TO THE POLES REGULATE THE SEEDING OF THE DEEP-SEATED DYNAMO THAT GENERATES SUBSEQUENT SOLAR CYCLES.""","","2018","$259,453","$0","$259,453","NASA Science Grants","National Aeronautics and Space Administration","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","43.001","","Washington", "","","","",""
"PREDICTIVE SCIENCE INCORPORATED","","United States","","","","","THE CONFLUENCE OF THE STEREO AND SDO MISSIONS HAS ALLOWED A LARGE FRACTION OF THE SUN TO BE SIMULTANEOUSLY OBSERVED FOR MANY YEARS AT EXTREME ULTRAVIOLET EUV WAVELENGTHS. WE PROPOSE A COMPREHENSIVE STUDY THAT LEVERAGES THIS DATA TO CHARACTERIZE THE EVOLUTION OF CORONAL HOLES CHS AND IN TURN UNDERSTAND THE DYNAMICS OF THE CORONAL MAGNETIC FIELD RESPONSIBLE FOR THESE CHANGES. OUR RESEARCH WILL ADDRESS THREE PRIMARY SCIENCE TOPICS: 1 - HOW DO CHS EVOLVE ON TIMESCALES FROM SEVERAL WEEKS TO YEARS? 2 - WHAT FRACTION OF THE INTERPLANETARY MAGNETIC FIELD EMANATES FROM CHS? 3 - HOW MUCH OF THE SOLAR WIND ARISES FROM DYNAMIC MAGNETICFLUX CHANGE AT CH BOUNDARIES?WE WILL EMPLOY A RECENTLY DEVELOPED CH DETECTION PIPELINE DESIGNED WITH THE EXPRESS PURPOSE OF ROBUSTLY TRACKING CHS FOR WEEKS AT A TIME. THE TIMESCALE OF SEVERAL WEEKS IS CRUCIAL FOR CONNECTING THE DYNAMICAL EVOLUTION OF CHS TO THE LARGE SCALE STRUCTURE OF THE CORONA AND THE SOLAR WIND. OUR NOVEL TECHNIQUE ALLOWS US TO CONSISTENTLY MEASURE CH POSITIONS AND PROPERTIES AS THEY EVOLVE AND TRANSITIONFROM THE VIEW OF ONE SPACECRAFT TO ANOTHER. WE WILL PRODUCE FULL SUN MAPS OF CH POSITIONS OVER A SUBSTANTIAL DATASET  AND USE THIS TO CHARACTERIZE THE WAY IN WHICH CH BOUNDARIES EVOLVE AND DISTORT WITH TIME. THIS ANALYSIS WILL BE SUPPLEMENTED BY OVERLAYING CH MEASUREMENTS WITH PHOTOSPHERIC FLUXES DERIVED FROM AN OBSERVATION BASED  FREELY AVAILABLE SURFACE FLUX TRANSPORT MODEL. SPECIFICALLY THIS PROJECT WILL FOCUS ON TWO CLOSELY-RELATED THEMES:1 - A LONG TERM STUDY OF CH EVOLUTION SPANNING THE LIFETIME OF THE STEREO MISSION. WE WILL PROCESS 195A AND 193A EUV IMAGING DATA FROM THE ENTIRE STEREO EUVI 2007 TO PRESENT AND SDO AIA 2010 TO PRESENT ARCHIVES AT A 2HR CADENCE USING OUR NEW DETECTION PIPELINE. THIS WILL PROVIDE A COMPREHENSIVE ARCHIVE OF CHS DURING THIS TIME PERIOD THAT WILL BE USED TO DERIVE LONG TERM TRENDS THAT TELL US HOW CHS EVOLVE AND HOW THEY RELATE TO THE INTERPLANETARY FLUX DERIVED FROM IN SITU MEASUREMENTS ACE WIND.2 - DETAILED CASE STUDIES OF CH EVOLUTION AT HIGH CADENCE FOR TWO DISTINCT PERIODS. ONCE FOR A LONG LIVED CH IN EARLY 2011 AND ONCE DURING A PERIOD OF HIGH ACTIVITY IN 2012. THE FIRST CASE STUDY WILL ALLOW US TO CHARACTERIZE HOW CHS EVOLVE DURING THE ABSENCE OF LARGE SCALE FLUX EMERGENCE  WHILE THE LATTER WILL ALLOW US EXAMINE THE ROLE OF FLUX EMERGENCE SPECIFICALLY. THESE STUDIES WILL ALLOW US TO CHARACTERIZE IN DETAIL HOW CHS EVOLVE. OUR CASE STUDY RESULTS WILL ALSO BE USED TO REFINE OUR ANALYSIS AND INTERPRETATION OF THE LONGTERM STUDY.THIS PROJECT IS HIGHLY RELEVANT TO THE HELIOPHYSICS GUEST INVESTIGATORS PROGRAM. OUR OBSERVATIONAL STUDIES WILL LEVERAGE FREELY AVAILABLE MEASUREMENTS AND COMBINE INFORMATION FROM FOUR SEPARATE SPACECRAFT IN HELIOPHYSICS SYSTEM OBSERVATORY. OUR SCIENTIFIC ANALYSIS IS DIRECTLY LINKED TO IMPROVING OUR UNDERSTANDING OF THE DYNAMIC SOLAR ATMOSPHERE AND THE ORIGIN OF THE SOLAR WIND. FURTHERMORE OUR PRIMARY DATA PRODUCT IS AN ARCHIVE OF SPACE BASED  FULL SUN EUV AND CH MAPS WHICH WILL BE MADE FREELY AVAILABLE TO THE HELIOPHYSICS COMMUNITY.","","2018","$260,000","$0","$260,000","NASA Science Grants","National Aeronautics and Space Administration","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","43.001","","California", "","","","",""
"ABB INC.","ABB Ltd.","United States","","","","","SINGLE ACTIVE SWITCH PV INVERTER","","2018","$260,457","$0","$260,457","Renewable Energy Research and Development","Energy Department","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","81.087","","North Carolina", "","Switzerland","publicly traded","utilities and power generation","power systems"
"KINDER MORGAN LIQUID TERMINALS LLC","Kinder Morgan","United States","","","","","PORT SECURITY GRANT PROGRAM","","2018","$262,500","$0","$262,500","Port Security Grant Program","Homeland Security Department","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","97.056","","Texas", "Texas","USA","publicly traded","pipelines","pipelines"
"LOCKHEED MARTIN CORPORATION","Lockheed Martin","United States","","","","","WE STARTED A SURVEY PROJECT ON THE GLOBAL ENERGETICS OF SOLAR FLARES AND CORONAL MASS EJECTIONS (CME) OBSERVED DURING THE SDO ERA  WHICH INLCLUDES ALL M-CLASS AND X-CLASS FLARES DURING THE FIRST 3.5 YEARS OF THE SDO MISSION  COVERING SOME 400 FLARE/CME EVENTS. THIS PROJECT WILL BE THE MOST COMPREHENSIVE SURVEY ABOUT VARIOUS FORMS OF ENERGIES THAT CAN BE DETECTED DURING FLARES  SUCH AS THE DISSIPATED MAGNETIC ENERGIES  THE THERMAL ENERGIES  THE NON-THERMAL ENERGIES  THE RADIATIVE AND CONDUCTIVE ENERGIES  AND THE KINETIC ENERGIES OF ASSOCIATED CMES. TWO STUDIES HAVE ALREADY BEEN COMPLETED ON THIS PROJECT  PRESENTING STATISTICS ON THE MAGNETIC ENERGIES (ASCHWANDEN ET AL. 2014)  AND ON THERMAL ENERGIES (ASCHWANDEN ET AL. 2015). THE DATA ANALYSIS INVOLVES AIA/SDO  HMI/SDO  EUVI/ STEREO  RHESSI  AND GOES. THE QUANTITATIVE DETERMINATION OF PHYSICAL PARAMETERS WITH LARGE STATISTICS WILL ENABLE US TO DISCOVER UNIVERSAL SCALING LAWS BETWEEN THE MEASURED PHYSICAL PARAMETERS  AS WELL PROVIDE SCALING RELATIONSHIPS AND PROXIES FOR FORECASTING OF EXTREME EVENTS IN SPACE WEATHER AND SPACE ENVIRONMENT.","","2018","$265,058","$0","$265,058","NASA Science Grants","National Aeronautics and Space Administration","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","43.001","","California", "Maryland","USA","publicly traded","aerospace and military contracting","aerospace & military contracting"
"TRANSTIMULATION RSEARCH, INC","","United States","","","","","TRANSCUTANEOUS NEUROMODULATION AT ACUPOINT FOR GASTRIC COMPLICATIONS OF SCLERODERMA","","2018","$265,665","$0","$265,665","Research and Training in Complementary and Alternative Medicine","Health and Human Services Department: National Institutes of Health","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","93.213","","Oklahoma", "","","","",""
"HURA IMAGING, LLC","","United States","","","","","A NOVEL SYSTEM FOR REDUCING RADIATION DOSE OF CT PERFUSION","","2018","$265,898","$0","$265,898","Discovery and Applied Research for Technological Innovations to Improve Human Health","Health and Human Services Department: National Institutes of Health","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","93.286","","California", "","","","",""
"HEALTH RESEARCH, INC.","","United States","","","","","EAGER: TRANSFORMATION SYSTEM FOR PSYCHROPHILIC FUNGI","","2018","$265,920","$0","$265,920","NSF Biological Sciences Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.074","","New York", "","","","",""
"FOLSOM LABS, LLC","","United States","","","","","AUTOMATIC COMMERCIAL PERMIT SETS","","2018","$267,162","$0","$267,162","Renewable Energy Research and Development","Energy Department","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","81.087","","California", "","","","",""
"NORTHWEST RESEARCH ASSOCIATES, INC.","","United States","","","","","COLLABORATIVE RESEARCH: BALLOON CAMPAIGN TO QUANTIFY THUNDERSTORM EFFECTS ON THE GLOBAL ELECTRIC CIRCUIT","","2018","$267,683","$0","$267,683","NSF Geosciences Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.05","","Washington", "","","","",""
"T.E.A.M., INC.","TEAM Inc.","United States","","","","","3D WOVEN THROUGH THICKNESS REINFORCED (3D-TTR) COMPOSITE ARMOR","","2018","$268,000","$0","$268,000","Basic Scientific Research","Defense Department","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","12.431","","Rhode Island", "Texas","USA","publicly traded","industrial services","industrial services"
"BOREAS SOLUTIONS LLC","","United States","","","","","THIS AGREEMENT SHALL BE PERFORMED IN ACCORDANCE WITH THE PROPOSAL TITLED, 'AUTONOMY ENHANCEMENT TO SMALL UNMANNED AIRCRAFT SYSTEMS' (RECIPIENT'S TECH","","2018","$270,000","$0","$270,000","Air Force Defense Research Sciences Program","Defense Department","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","12.8","","Colorado", "","","","",""
"KINDER MORGAN LIQUID TERMINALS LLC","Kinder Morgan","United States","","","","","PORT SECURITY GRANT PROGRAM","","2018","$270,000","$0","$270,000","Port Security Grant Program","Homeland Security Department","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","97.056","","Texas", "Texas","USA","publicly traded","pipelines","pipelines"
"TECH-X CORPORATION","Tech-X","United States","","","","","CENTER FOR TOKAMAK TRANSIENTS SIMULATIONS","","2018","$270,000","$0","$270,000","Office of Science Financial Assistance Program","Energy Department","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","81.049","","Colorado", "Colorado","USA","privately held","miscellaneous services","industrial services"
"ODFJELL TERMINALS HOUSTON INC","Odfjell","United States","","","","","PORT SECURITY GRANT PROGRAM","","2018","$270,184","$0","$270,184","Port Security Grant Program","Homeland Security Department","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","97.056","","Texas", "","Singapore","privately held","freight and logistics","ocean shipping"
"MATSYS CORPORATION","","United States","","","","","ADVANCED MATERIAL PROCESSING AND MANUFACTURING TECHNOLOGY FOR LIGHTWEIGHT AND REFRACTORY METALS","","2018","$274,000","$0","$274,000","Basic Scientific Research","Defense Department","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","12.431","","Virginia", "","","","",""
"NORTHWEST RESEARCH ASSOCIATES  INC.","","United States","","","","","THE PROPOSED HELIOSEISMIC ANALYSIS IS INTENDED TO PRODUCE NEW AND DEFINITIVE ESTIMATES OF THE TURBULENT FLOW VELOCITY ON LARGE ANGULAR SCALES AS A FUNCTION OF DEPTH WITHIN THE SOLAR CONVECTION ZONE. THE SUBSURFACE FLOW VELOCITY WILL BE OBTAINED FROM WAVEFORM DIRECTMODELING INVERSIONS  STARTING FROM THE SPHERICAL-HARMONIC DECOMPOSITION OF SOHO/MDI DOPPLER VELOCITY IMAGES. THE STUDY WILL UTILIZE THE ENTIRE 13-YEAR MDI MEDIUM-L DATASET TO MAXIMIZE SIGNAL-TO-NOISE. THE FORWARD MODEL FOR THE INVERSIONS WILL BUILD ONEXISTING WAVE-BASED MODELS CURRENTLY USED FOR THE ANALYSIS OF ZONAL AND MERIDIONAL FLOW. MEASUREMENT NOISE WILL BE EVALUATED WITH THE HELP OF SIMULATED DATA SETS AND SYSTEMATIC ERRORS WILL BE INVESTIGATED AND REMOVED.THE PI IS PROPOSING TO 1) GENERALIZE EXISTING GLOBAL HELIOSEISMIC FORWARD MODELS AND CODE THEM  2) DEVELOP AND CODE AN ALGORITHM  IN SPHERICAL GEOMETRY  TO INVERT HELIOSEISMIC DATA FOR THE LARGE-SCALE FLOW VELOCITY  AND APPLY THE CODE TO MDI SPHERICAL HARMONIC TIME SERIES TO ESTIMATE THE SUBSURFACE FLOW VELOCITY  3) CREATE AND ANALYZE ARTIFICIAL SPHERICAL HARMONIC TIME SERIES  TO AID IN THE INTERPRETATION OF THE INVERSIONS  AND 4) IDENTIFY AND QUANTIFY FLOW MEASUREMENT ARTIFACTS  AND REMOVE THEM FROM THE MEASURED FLOW VELOCITY.THE NEW SUBSURFACE FLOW MEASUREMENTS ARE EXPECTED TO ADDRESS MAJOR DECADAL SURVEY CHALLENGES CONNECTED WITH THE DYNAMICS AND MAGNETISM OF THE SOLAR INTERIOR  BY CLARIFYING THE PICTURE OF LARGE-SCALE FLOW IN THE CONVECTION ZONE. THE PROPOSED WORK WOULD PROVIDE A MORE COMPLETE PICTURE OF DEEP LARGE-SCALE SOLAR TURBULENCE  WHICH IS BELIEVED TO PLAY A FUNDAMENTAL ROLE IN TRANSPORTING THE SUN'S LUMINOSITY AND TO AFFECT THE TRANSPORT OF MAGNETIC FLUX. IMPROVEMENTS IN OUR UNDERSTANDING OF THE DYNAMICS OF THE SUN'S INTERIOR ANDITS IMPACT ON MAGNETIC ACTIVITY ARE OF VITAL INTEREST TO THE HELIOPHYSICS RESEARCH PROGRAM FOCUS ON THE ORIGIN AND NATURE OF THE SOLAR DYNAMO. THE RESEARCH IS CRITICAL TO NASA'S STRATEGIC OUTCOME 2.2 THROUGH RESEARCH OBJECTIVE 2.2.1: ""IMPROVE UNDERSTANDING OF THE FUNDAMENTAL PHYSICAL PROCESSES OF THE SPACE ENVIRONMENT FROM THE SUN TO EARTH . . . ""  WHICH ADDRESSES NASA'S SCIENCE QUESTION ""HOW AND WHY DOES THE SUN VARY ?"" FROM STRATEGIC OUTCOME 2.2.","","2018","$274,701","$0","$274,701","NASA Science Grants","National Aeronautics and Space Administration","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","43.001","","Arizona", "","","","",""
"G & A TECHNICAL SOFTWARE INC","","United States","","","","","RECENT STUDIES INDICATE THAT THE OCCURRENCE AND BRIGHTNESS OF POLAR MESOSPHERIC CLOUDS (PMCS) DIMINISH FOLLOWING ENHANCED PLANETARY ROSSBY WAVE (PRW) ACTIVITY AND WARM WINTER STRATOSPHERIC TEMPERATURE ANOMALIES. THEORETICAL INVESTIGATIONS INTO THE CAUSE OF THIS APPARENT TELECONNECTION HAVE TARGETED THE RESPONSE OF THE GRAVITY WAVE (GW)-DRIVEN MESOSPHERIC CIRCULATION TO ENHANCED PRW FORCING IN THE WINTER STRATOSPHERE. HOWEVER  IT IS KNOWN THAT THE MESOSPHERIC 2-DAY WAVE WAS ALSO ENHANCED DURING SEASONS OF INCREASED PRW ACTIVITY AND REDUCED PMC BRIGHTNESS. MOMENTUM DEPOSITION BY DISSIPATING 2-DAY WAVES DRIVES A CIRCULATION THAT CAN WARM THE POLAR SUMMER MESOPAUSE BY AS MUCH AS 5K. THE RELATIONSHIP BETWEEN ARCTIC WINTER PRW ACTIVITY AND SUMMER MESOSPHERIC 2-DAY WAVE ENHANCEMENTS HAS NOT BEEN SYSTEMATICALLY INVESTIGATED IN OBSERVATIONS. DRAWING ON WORK BY ORSOLINI ET AL. (1997)  LIMPASUVAN ET AL. (2000) AND MCCORMACK ET AL. (2009)  WE HYPOTHESIZE THAT THE HEMISPHERIC LINKAGE IS EFFECTED BY MERIDIONAL CIRCULATIONS THAT ATTEND INERTIAL INSTABILITY OUTBREAKS IN THE EQUATORIAL MESOSPHERE  THAT SEED THE 2-DAY WAVE IN THE SUMMER MESOSPHERE. THE LEADING OBJECTIVES OF THIS PROPOSAL ARE TO HARNESS SATELLITE MEASUREMENTS TO EXPLICITLY QUANTIFY THE EFFECTS OF THE 2-DAY WAVE UPON PMC  AND THE COUPLING OF THE 2-DAY WAVE TO PRW BREAKING AND INERTIAL INSTABILITY. WE WILL 1. COMPUTE 2-DAY WAVE FORCING FROM TEMPERATURES MAPPED DURING THE AIM MISSION AUSTRAL SUMMERS  AND EXAMINE THE RESPONSE OF THE SUMMER MESOPAUSE TO THIS FORCING USING A 2D MODEL; 2. EVALUATE THE SENSITIVITY OF ICE FORMATION AND OCCURRENCE IN A 0-D MODEL TO 2-DAY WAVE FORCING  AND COMPARE WITH AIM DATA; 3. ANALYZE CONCURRENT WINTERTIME PLANETARY WAVES AND INERTIAL INSTABILITY IN TIMED AND AURA TEMPERATURES  AND ESTIMATE THEIR WAVE FORCING  AND 4. USE A PRIMITIVE EQUATION MODEL TO EXPLICITLY EVALUATE THE RESPONSE OF THE SUMMER EASTERLY JET TO FORCING BY PLANETARY WAVES AND INERTIAL INSTABILITY. THE PROPOSED WORK DESCRIBES AN END-TO-END STUDY QUANTIFYING THE CONTRIBUTIONS OF PLANETARY WAVE-DRIVEN CIRCULATIONS TO THE ARCTIC-SUMMER MESOPAUSE TELECONNECTION. IN DOING SO  WE ENHANCE THE UNDERSTANDING OF PMC VARIABILITY AS A GLOBAL WARMING PROXY. THIS PROPOSAL ADDRESSES KEY SCIENCE GOAL 2 ARTICULATED IN THE NASA HELIOPHYSICS DECADAL SURVEY: ``DETERMINE THE DYNAMICS AND COUPLING OF EARTH S MAGNETOSPHERE  IONOSPHERE  AND ATMOSPHERE AND THEIR RESPONSE TO SOLAR AND TERRESTRIAL INPUTS.'' OUR PROPOSED WORK IS PERTINENT TO SCIENCE GOAL AIMI-2  METEOROLOGICAL DRIVING OF THE IT SYSTEM: HOW DOES LOWER ATMOSPHERE VARIABILITY AFFECT GEOSPACE?''","","2018","$279,388","$0","$279,388","NASA Science Grants","National Aeronautics and Space Administration","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","43.001","","Virginia", "","","","",""
"GEORGIA SOUTHERN UNIVERSITY RESEARCH AND SERVICE FOUNDATION, INC.","","United States","","","","","REU SITE: COLLABORATIVE MULTIDISCIPLINARY INVESTIGATIONS THROUGH UNDERGRADUATE RESEARCH EXPERIENCES (CEMITURE)","","2018","$280,056","$0","$280,056","NSF Mathematical and Physical Sciences Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.049","","Georgia", "","","","",""
"TECHNICAL EDUCATION RESEARCH CENTERS, INC.","","United States","","","","","COLLABORATIVE RESEARCH: EARTHSCOPE CHRONICLES: SCIENTISTS' STORIES AND MEDIA-RICH EARTH SCIENCE INVESTIGATIONS","","2018","$281,545","$0","$281,545","NSF Geosciences Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.05","","Massachusetts", "","","","",""
"TOWN OF SMITHTOWN","","United States","","","","","PORT SECURITY GRANT PROGRAM","","2018","$282,312","$0","$282,312","Port Security Grant Program","Homeland Security Department","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","97.056","","New York", "","","","",""
"GENERAL ATOMICS","General Atomics","United States","","","","","FUSION ENERGY SCIENCE OUTREACH PROGRAM","","2018","$282,991","$0","$282,991","Office of Science Financial Assistance Program","Energy Department","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","81.049","","California", "California","USA","privately held","aerospace and military contracting","aerospace & military contracting"
"GENERAL DYNAMICS ADVANCED INFORMATION SYSTEMS  INC.","General Dynamics","United States","","","","","SOFTWARE DEFINED RADIO DEVELOPMENT","","2018","$285,000","$0","$285,000","NASA Space Operations Grants","National Aeronautics and Space Administration","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","43.007","","Arizona", "Virginia","USA","publicly traded","aerospace and military contracting","aerospace & military contracting"
"PENINSULA AIRWAYS D/B/A PENAIR","","United States","","","","","ESSENTIAL AIR SERVICE","","2018","$286,759","$0","$286,759","Payments for Essential Air Services","Transportation Department","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","20.901","","Utah", "","","","",""
"SAINT-GOBAIN CERAMICS & PLASTICS, INC.","Saint-Gobain","United States","","","","","DE-FE0030983 NEW AWARD TITLED, ''DEVELOPMENT OF AGILE AND COST EFFECTIVE ROUTES FOR MANUFACTURING RELIABLE CERAMIC COMPONENTS FOR SOLID OXIDE FUEL CELL (SOFC) SYSTEMS.''","","2018","$287,217","$0","$287,217","Fossil Energy Research and Development","Energy Department","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","81.089","","Massachusetts", "","France","publicly traded","building materials","building materials"
"DELAWARE CITY REFINING CO LLC","PBF Energy","United States","","","","","PORT SECURITY GRANT PROGRAM","","2018","$288,280","$0","$288,280","Port Security Grant Program","Homeland Security Department","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","97.056","","Delaware", "New Jersey","USA","publicly traded","oil and gas","oil & gas"
